time	bass	mid	treble	bass_att	mid_att	treb_att	beat_raw	beat	beat_bass	beat_mid	beat_treble	sub_bass	low_bass	low_mid	mid_high	high_mid	high
0.000	0.1810	0.1248	0.1248	0.0235	0.0235	0.0235	0.0000	0.0000	0.0000	0.0000	0.0000	0.1810	0.1810	0.1248	0.1248	0.1248	0.0953
0.017	0.1810	0.1248	0.1248	0.0235	0.0235	0.0235	0.0000	0.0000	0.0000	0.0000	0.0000	0.1810	0.1810	0.1248	0.1248	0.1248	0.0953
0.033	0.3302	0.2349	0.2349	0.0466	0.0466	0.0466	0.0000	0.0000	0.0000	0.0000	0.0000	0.3302	0.3302	0.2349	0.2349	0.2349	0.1858
0.050	0.4526	0.3313	0.3313	0.0692	0.0692	0.0692	0.0000	0.0000	0.0000	0.0000	0.0000	0.4526	0.4526	0.3313	0.3313	0.3204	0.2445
0.067	0.5529	0.4158	0.4158	0.0914	0.0914	0.0914	0.0000	0.0000	0.0000	0.0000	0.0000	0.5529	0.5529	0.4158	0.4158	0.3832	0.2876
0.083	0.6349	0.4898	0.4898	0.1131	0.1131	0.1131	0.0000	0.0000	0.0000	0.0000	0.0000	0.6349	0.6349	0.4898	0.4898	0.4332	0.3207
0.100	0.6349	0.4898	0.4898	0.1131	0.1131	0.1131	0.0000	0.0000	0.0000	0.0000	0.0000	0.6349	0.6349	0.4898	0.4898	0.4332	0.3207
0.117	0.7024	0.5548	0.5548	0.1344	0.1344	0.1344	0.0000	0.0000	0.0000	0.0000	0.0000	0.7024	0.7024	0.5548	0.5548	0.4664	0.3420
0.133	0.7575	0.6117	0.6117	0.1552	0.1552	0.1552	0.0000	0.0000	0.0000	0.0000	0.0000	0.7402	0.7575	0.6117	0.6117	0.4865	0.3526
0.150	0.8025	0.6614	0.6614	0.1756	0.1756	0.1756	0.0000	0.0000	0.0000	0.0000	0.0000	0.7242	0.8025	0.6614	0.6614	0.4950	0.3582
0.166	0.8025	0.6614	0.6614	0.1756	0.1756	0.1756	0.0000	0.0000	0.0000	0.0000	0.0000	0.7242	0.8025	0.6614	0.6614	0.4950	0.3582
0.182	0.8392	0.7049	0.7049	0.1955	0.1955	0.1955	0.0000	0.0000	0.0000	0.0000	0.0000	0.6887	0.7960	0.7049	0.7049	0.4934	0.3570
0.200	0.8692	0.7429	0.7429	0.2151	0.2151	0.2151	0.0000	0.0000	0.0000	0.0000	0.0000	0.6573	0.7962	0.7429	0.7429	0.4852	0.3501
0.217	0.8937	0.7761	0.7761	0.2342	0.2342	0.2342	0.0000	0.0000	0.0000	0.0000	0.0000	0.6139	0.7752	0.7761	0.7761	0.4818	0.3470
0.232	0.9135	0.8050	0.8050	0.2528	0.2528	0.2528	0.0000	0.0000	0.0000	0.0000	0.0000	0.5834	0.7735	0.8050	0.8050	0.4821	0.3471
