track,stage,wall_ms,cpu_ms,cpu_cores,audio_s,ms_per_audio_s
"01 - Speed Of Life.flac",content_hash,32.3,13.8,0.43,167.17,0.19
"01 - Speed Of Life.flac",cache_probe,0.1,0.1,0.99,167.17,0.00
"02 - Breaking Glass.flac",content_hash,41.4,26.8,0.65,112.89,0.37
"02 - Breaking Glass.flac",cache_probe,0.1,0.1,1.00,112.89,0.00
"02 - Breaking Glass.flac",metadata_artwork,6.3,6.0,0.95,112.89,0.06
"01 - Speed Of Life.flac",metadata_artwork,15.3,18.8,1.23,167.17,0.09
"02 - Breaking Glass.flac",decode,119.5,238.1,1.99,112.89,1.06
"02 - Breaking Glass.flac",loudness_profile,12.5,24.1,1.94,112.89,0.11
"01 - Speed Of Life.flac",decode,184.3,358.5,1.95,167.17,1.10
"01 - Speed Of Life.flac",loudness_profile,17.5,32.1,1.83,167.17,0.10
"02 - Breaking Glass.flac",stem_separation,234.5,370.2,1.58,112.89,2.08
"01 - Speed Of Life.flac",stem_separation,188.0,282.3,1.50,167.17,1.12
"02 - Breaking Glass.flac",stem_warmup,32.0,57.9,1.81,112.89,0.28
"01 - Speed Of Life.flac",stem_warmup,32.4,63.2,1.95,167.17,0.19
"02 - Breaking Glass.flac",mir,137.0,270.7,1.98,112.89,1.21
"01 - Speed Of Life.flac",mir,255.6,506.6,1.98,167.17,1.53
"02 - Breaking Glass.flac",beat_grid,860.5,1680.3,1.95,112.89,7.62
"02 - Breaking Glass.flac",grid_onset_calibration,32.3,60.1,1.86,112.89,0.29
"01 - Speed Of Life.flac",beat_grid,847.7,1585.0,1.87,167.17,5.07
"01 - Speed Of Life.flac",grid_onset_calibration,50.8,92.3,1.82,167.17,0.30
"02 - Breaking Glass.flac",instrument_family,296.1,482.7,1.63,112.89,2.62
"01 - Speed Of Life.flac",instrument_family,358.2,620.0,1.73,167.17,2.14
"02 - Breaking Glass.flac",stem_series_sweep,8276.0,10842.1,1.31,112.89,73.31
"02 - Breaking Glass.flac",cache_write,32.4,30.3,0.94,112.89,0.29
"02 - Breaking Glass.flac",TRACK_TOTAL,10081.9,14090.6,1.40,112.89,89.30
"03 - What In The World.flac",content_hash,34.4,67.5,1.97,143.11,0.24
"03 - What In The World.flac",cache_probe,0.1,0.2,1.96,143.11,0.00
