track,stage,wall_ms,cpu_ms,cpu_cores,audio_s,ms_per_audio_s
"01 - Speed Of Life.flac",content_hash,31.5,11.8,0.37,167.17,0.19
"01 - Speed Of Life.flac",cache_probe,0.1,0.1,1.00,167.17,0.00
"01 - Speed Of Life.flac",metadata_artwork,17.6,10.7,0.61,167.17,0.11
"01 - Speed Of Life.flac",decode,182.9,182.2,1.00,167.17,1.09
"01 - Speed Of Life.flac",loudness_profile,17.5,17.4,0.99,167.17,0.10
"01 - Speed Of Life.flac",stem_separation,208.7,159.7,0.77,167.17,1.25
"01 - Speed Of Life.flac",stem_warmup,35.7,35.7,1.00,167.17,0.21
"01 - Speed Of Life.flac",mir,254.8,254.4,1.00,167.17,1.52
"01 - Speed Of Life.flac",beat_grid,865.1,828.4,0.96,167.17,5.17
"01 - Speed Of Life.flac",grid_onset_calibration,51.2,51.1,1.00,167.17,0.31
"01 - Speed Of Life.flac",instrument_family,284.4,264.1,0.93,167.17,1.70
"01 - Speed Of Life.flac",stem_series_sweep,10210.6,7222.8,0.71,167.17,61.08
"01 - Speed Of Life.flac",cache_write,8.2,5.7,0.69,167.17,0.05
"01 - Speed Of Life.flac",TRACK_TOTAL,12169.0,9044.4,0.74,167.17,72.79
"02 - Breaking Glass.flac",content_hash,22.9,7.5,0.33,112.89,0.20
"02 - Breaking Glass.flac",cache_probe,0.1,0.1,0.92,112.89,0.00
"02 - Breaking Glass.flac",metadata_artwork,1.9,3.2,1.69,112.89,0.02
"02 - Breaking Glass.flac",decode,134.5,261.7,1.95,112.89,1.19
"02 - Breaking Glass.flac",loudness_profile,12.7,24.0,1.89,112.89,0.11
"02 - Breaking Glass.flac",stem_separation,118.1,164.2,1.39,112.89,1.05
"02 - Breaking Glass.flac",stem_warmup,31.7,31.7,1.00,112.89,0.28
"02 - Breaking Glass.flac",mir,134.6,134.4,1.00,112.89,1.19
"02 - Breaking Glass.flac",beat_grid,103.6,62.1,0.60,112.89,0.92
"02 - Breaking Glass.flac",grid_onset_calibration,33.4,33.3,1.00,112.89,0.30
"02 - Breaking Glass.flac",instrument_family,218.9,189.6,0.87,112.89,1.94
"02 - Breaking Glass.flac",stem_series_sweep,7053.9,4930.6,0.70,112.89,62.48
"02 - Breaking Glass.flac",cache_write,8.5,4.9,0.58,112.89,0.08
"02 - Breaking Glass.flac",TRACK_TOTAL,7874.9,5847.3,0.74,112.89,69.75
"03 - What In The World.flac",content_hash,29.3,9.2,0.31,143.11,0.20
"03 - What In The World.flac",cache_probe,0.1,0.1,1.00,143.11,0.00
"03 - What In The World.flac",metadata_artwork,1.7,2.8,1.70,143.11,0.01
"03 - What In The World.flac",decode,159.4,267.2,1.68,143.11,1.11
"03 - What In The World.flac",loudness_profile,14.1,14.1,1.00,143.11,0.10
"03 - What In The World.flac",stem_separation,115.2,80.4,0.70,143.11,0.81
"03 - What In The World.flac",stem_warmup,34.8,34.7,1.00,143.11,0.24
"03 - What In The World.flac",mir,202.5,197.6,0.98,143.11,1.42
"03 - What In The World.flac",beat_grid,127.9,70.9,0.55,143.11,0.89
"03 - What In The World.flac",grid_onset_calibration,43.5,43.3,1.00,143.11,0.30
"03 - What In The World.flac",instrument_family,264.0,214.4,0.81,143.11,1.84
